"Site_Subject_ID","X","Y","Elevation","Gradient","Trees"
11925,400,225,141.03,0.01246662,0
11927,815,390,154.2,0.04115409,0
11928,560.1,11.5,,,1
11930,284.7,383.6,,,1
11931,332.9,495.2,,,1
11934,845.5,142.8,,,1
11936,100,125,134.5,0.0637419,0
11937,935,250,131.94,0.05863257,0
11940,145,225,140.73,0.0642301,0
11942,545,305,150.69,0.06430212,0
11944,885,360,144.82,0.1959019,0
11948,40,490,139.91,0.1321226,0
11950,250,120,143,0.02479334,0
11954,20,45,129.65,0.1868688,0
11958,149.9,124.2,,,1
11970,410,165,143.29,0.04512888,0
11976,505,15,130.69,0.1709346,0
11978,425,455,145.83,0.05857448,0
11988,976.2,416.3,,,1
11991,30,115,136.19,0.1009058,0
11996,100,345,148.78,0.04450396,0
12000,684.7,54.3,,,1
12001,310,485,151.77,0.04429434,0
12002,5,400,146.28,0.1802494,0
12003,955,450,136.69,0.1035905,0
12005,875,60,130.13,0.08474083,0
12008,690,135,152.86,0.08168582,0
12009,600,230,152.26,0.03751127,0
12010,185,35,139.69,0.05305081,0
12013,590,450,156.69,0.06386675,0
12015,270,265,140.46,0.003137088,0
12018,100,480,147.06,0.1041582,0
12020,575,430,155.09,0.0566367,0
12024,837,297.5,,,1
12025,910,355,140.67,0.1149877,0
12033,165,415,145.69,0.04026648,0
12038,360,380,144.82,0.04008151,0
12039,810,345,153.53,0.06868433,0
12043,5,165,139.59,0.07875003,0
12044,160.6,481.5,,,1
12051,280.2,4.7,,,1
12056,725,0,136.39,0.1160655,0
12057,525,260,148.76,0.07813255,0
12058,40,200,141.36,0.05460078,0
12061,510,470,152.98,0.09779651,0
12068,880,30,129.57,0.08616238,0
12069,755,155,155.33,0.03055821,0
12070,20,200,141.39,0.05285294,0
12080,880,75,131.11,0.1007343,0
12087,695,120,151.25,0.1439922,0
12088,860,115,136.55,0.2054162,0
12090,20,120,135.4,0.1354976,0
12093,799.6,305.9,,,1
12099,45,195,141.06,0.05422754,0
12100,530,20,133.49,0.2022486,0
12101,990,175,126.01,0.1147738,0
12107,750,470,157.74,0.02331144,0
12109,645,280,154.29,0.03426678,0
12114,885,310,140.52,0.1473848,0
12115,465,370,147.81,0.08208584,0
12124,135,485,148.06,0.02833536,0
12126,930,20,125.05,0.09403811,0
12129,575,470,156.66,0.06242252,0
12132,275,470.9,,,1
12133,121.8,324.2,,,1
12137,265,270,140.43,0.004670893,0
12138,615,345,155.06,0.04668433,0
12139,965,65,126.61,0.08998354,0
12143,620,330,154.75,0.042645,0
12144,365,170,143.64,0.01848081,0
12148,140,425,147.23,0.0586461,0
12152,473.2,426.1,,,1
12163,930,200,133.04,0.08679178,0
12169,591.3,138.5,,,1
12171,845,475,145.96,0.1612198,0
12173,305,440,149.61,0.04829451,0
12187,570.7,77.2,,,1
12193,830,285,150.46,0.1766913,0
12196,110,180,139.23,0.09786163,0
12199,45,190,140.77,0.05351704,0
12202,490,80,141.6,0.1488124,0
12205,530,255,149.1,0.0720449,0
12214,885,250,139.93,0.1724191,0
12216,400,175,142.95,0.04759506,0
12219,245,205,141.31,0.0550432,0
12221,410,130,144.1,0.01023379,0
12228,785,480,156.51,0.07928656,0
12235,75,60,128.06,0.07570579,0
12237,835,320,150.56,0.1615579,0
12241,295,280,140.54,0.007433126,0
12243,350,335,143.75,0.04665709,0
12245,30,75,133.58,0.1248351,0
12252,755,75,145.57,0.1674181,0
12254,570,15,137.8,0.1509999,0
12259,270,410,147.5,0.06927447,0
12268,115,90,136.88,0.07731686,0
12276,990,260,130.56,0.06912561,0
12278,235.2,320.2,,,1
12287,785,460,156.45,0.07520701,0
12292,5,140,136.93,0.1637909,0
12299,500,60,139.97,0.1898055,0
12303,260,340,141.89,0.05311952,0
12311,504.9,332.8,,,1
12314,85,500,143.74,0.09464884,0
12317,35,260,143.97,0.04668334,0
12319,610,95,147.94,0.0898763,0
12321,830,465,149.11,0.1821763,0
12325,295,195,141.99,0.04219769,0
12327,219.7,27.7,,,1
12330,870,395,149.19,0.1801736,0
12337,79.6,447.1,,,1
12343,265,475,149.88,0.04778846,0
12345,970,340,132.75,0.06157385,0
12350,35,460,140.3,0.1985995,0
12352,640,140,151.71,0.05021059,0
12357,530.2,47.9,,,1
12360,132.3,496.8,,,1
12362,115,305,146.52,0.0577964,0
12367,642.4,56.1,,,1
12370,175,410,145.54,0.0378846,0
12371,150.1,439.5,,,1
12373,439.7,120.7,,,1
12374,920,230,132.5,0.124707,0
12379,190,475,147.54,0.04881496,0
12380,110,205,140.92,0.06425791,0
12384,615,30,141.95,0.1047917,0
12386,0,100,130.48,0.2041777,0
12388,440,335,143.67,0.08266995,0
12390,200,375,143.71,0.04449613,0
12392,375,195,142.87,0.04686432,0
12402,240,60,141.24,0.03151246,0
12405,425,420,146.45,0.1043357,0
12413,295,275,140.51,0.006016198,0
12417,300,355,143.97,0.08934225,0
12422,495,75,141.5,0.1556956,0
12429,680,320,155.7,0.02843065,0
12433,445,305,141.85,0.04143975,0
12435,245,195,141.86,0.05841752,0
12436,515,495,150.68,0.1696751,0
12443,865,80,133.22,0.1662027,0
12448,70,280,145.25,0.05747609,0
12451,830,255,149.87,0.197462,0
12453,730,340,156.15,0.0176507,0
12456,274.5,458.8,,,1
12463,40.6,251,,,1
12467,885,105,132.54,0.1079267,0
12472,675,395,157.28,0.00823891,0
12473,165,190,138.6,0.03320146,0
12475,223.6,226.4,,,0
12486,700,325,156.16,0.01923615,0
12497,485,175,144.6,0.0883863,0
12499,175,85,139.68,0.07178822,0
12501,730,5,136.68,0.1136545,0
12512,495,495,149.1,0.1485872,0
12516,505,430,152.5,0.051509,0
12520,505,40,135.05,0.2199956,0
12521,685,420,157.3,0.006357072,0
12525,715,260,156.43,0.02211256,0
12531,535,150,147.92,0.05321743,0
12533,815,140,150.23,0.2801883,0
12534,900,340,141.06,0.130217,0
12543,830,290,150.24,0.1724996,0
12546,831.6,316.5,,,1
12548,105,435,148.96,0.02708209,0
12552,820,15,132.61,0.2230051,0
12555,150,35,136.73,0.06332433,0
12559,400,75,143.04,0.1217856,0
12562,579.5,60.9,,,1
12564,945,260,131.71,0.03939761,0
12566,630,370,156.2,0.03741796,0
12568,316.7,343.3,,,1
12570,830,25,132.23,0.2232144,0
12572,140,0,136.73,0.05528773,0
12574,810,135,151.38,0.2525922,0
12576,270,10,136.26,0.204486,0
12581,295,245,140.49,0.01297469,0
12587,120,250,143.05,0.06653647,0
12588,222,19.8,,,1
12596,350,210,142.36,0.04590675,0
12604,70,195,140.85,0.06011694,0
12608,440,230,141.22,0.01107524,0
12609,860,340,146.73,0.1739679,0
12610,110,455,148.53,0.0265618,0
12627,455,45,134.32,0.1977809,0
12629,580,145,150.28,0.04079725,0
12633,450,150,144.2,0.03908114,0
12639,975,355,131.99,0.06859264,0
12641,760,445,157.23,0.02414413,0
12646,945,440,137.68,0.09727116,0
12653,290,255,140.35,0.005432044,0
12654,98.5,264.1,,,1
12659,720,110,149.41,0.1776391,0
12660,760,130,154.5,0.08782514,0
12661,150,165,140.09,0.06312624,0
12666,955,480,134.74,0.1044036,0
12670,265,105,142.89,0.02905315,0
12673,845,460,146.56,0.1818083,0
12674,575,175,,,0
12684,405,165,143.35,0.04165589,0
12687,950,95,127.76,0.08064981,0
12688,260,465,149.47,0.04777972,0
12701,435,490,146.19,0.06339768,0
12702,950,375,136.53,0.2081355,0
12706,405,395,143.97,0.03046749,0
12712,930.5,287.1,,,1
12715,106.7,486.5,,,1
12716,435,105,144.32,0.02978279,0
12719,535,280,149.04,0.06410281,0
12720,805,65,142.52,0.2168777,0
12724,935,200,132.65,0.08425557,0
12725,955.5,416.3,,,1
12726,295,310,140.75,0.03083335,0
12732,83.5,498,,,1
12733,480,15,130.15,0.1404841,0
12734,410,305,142.19,0.02215444,0
12735,276,418.7,,,1
12736,815.6,246.6,,,1
12744,785,475,156.49,0.07970395,0
12747,25,370,148.81,0.04615619,0
12748,522.1,499,,,1
12756,875,140,136.08,0.1694307,0
12763,780,365,155.36,0.04958514,0
12766,325,10,133.66,0.1815413,0
12770,865,325,145.23,0.1827569,0
12774,880,280,141.49,0.1463261,0
12775,270,380,145,0.08599883,0
12778,805,270,154.17,0.1137367,0
12780,75,320,147.77,0.0596155,0
12788,55,410,149.49,0.05913497,0
12796,815.4,344.8,,,1
12800,725,435,157.33,0.004344161,0
12801,205,375,143.4,0.0369331,0
12803,720,345,156.35,0.01567104,0
